i:13, j:2, l1:3604230875793764160, l2:924545080321, l3:1
i:13, j:3, l1:0, l2:0, l3:255
i:13, j:4, l1:0, l2:0, l3:255
i:13, j:5, l1:0, l2:0, l3:255
i:13, j:6, l1:0, l2:0, l3:255
i:13, j:7, l1:0, l2:0, l3:255
i:13, j:8, l1:0, l2:0, l3:255
i:13, j:9, l1:0, l2:0, l3:255
i:14, j:0, l1:0, l2:0, l3:255
i:14, j:1, l1:0, l2:0, l3:255
i:14, j:2, l1:0, l2:0, l3:255
i:14, j:3, l1:0, l2:0, l3:255
i:14, j:4, l1:0, l2:0, l3:255
i:14, j:5, l1:0, l2:0, l3:255
i:14, j:6, l1:0, l2:0, l3:255
i:14, j:7, l1:0, l2:0, l3:255
i:14, j:8, l1:0, l2:0, l3:255
i:14, j:9, l1:0, l2:0, l3:255
i:15, j:0, l1:18014616026898716390, l2:679068407569, l3:2
i:15, j:1, l1:0, l2:0, l3:255
i:15, j:2, l1:0, l2:0, l3:255
i:15, j:3, l1:0, l2:0, l3:255
i:15, j:4, l1:0, l2:0, l3:255
i:15, j:5, l1:0, l2:0, l3:255
i:15, j:6, l1:0, l2:0, l3:255
i:15, j:7, l1:0, l2:0, l3:255
i:15, j:8, l1:0, l2:0, l3:255
i:15, j:9, l1:0, l2:0, l3:255
i:16, j:0, l1:0, l2:0, l3:255
i:16, j:1, l1:0, l2:0, l3:255
i:16, j:2, l1:0, l2:0, l3:255
i:16, j:3, l1:0, l2:0, l3:255
i:16, j:4, l1:0, l2:0, l3:255
i:16, j:5, l1:0, l2:0, l3:255
i:16, j:6, l1:0, l2:0, l3:255
i:16, j:7, l1:0, l2:0, l3:255
i:16, j:8, l1:0, l2:0, l3:255
i:16, j:9, l1:0, l2:0, l3:255
i:17, j:0, l1:0, l2:0, l3:255
i:17, j:1, l1:0, l2:0, l3:255
i:17, j:2, l1:0, l2:0, l3:255
i:17, j:3, l1:0, l2:0, l3:255
i:17, j:4, l1:0, l2:0, l3:255
i:17, j:5, l1:0, l2:0, l3:255
i:17, j:6, l1:0, l2:0, l3:255
i:17, j:7, l1:0, l2:0, l3:255
i:17, j:8, l1:0, l2:0, l3:255
i:17, j:9, l1:0, l2:0, l3:255
i:18, j:0, l1:16958547942953445325, l2:712968358913, l3:0
i:18, j:1, l1:3307026031812347171, l2:972936877841, l3:1
i:18, j:2, l1:0, l2:0, l3:255
i:18, j:3, l1:0, l2:0, l3:255
i:18, j:4, l1:0, l2:0, l3:255
i:18, j:5, l1:0, l2:0, l3:255
i:18, j:6, l1:0, l2:0, l3:255
i:18, j:7, l1:0, l2:0, l3:255
i:18, j:8, l1:0, l2:0, l3:255
i:18, j:9, l1:0, l2:0, l3:255
i:19, j:0, l1:13317634900160988922, l2:201534360582, l3:2
i:19, j:1, l1:0, l2:0, l3:255
i:19, j:2, l1:0, l2:0, l3:255
i:19, j:3, l1:0, l2:0, l3:255
i:19, j:4, l1:0, l2:0, l3:255
i:19, j:5, l1:0, l2:0, l3:255
i:19, j:6, l1:0, l2:0, l3:255
i:19, j:7, l1:0, l2:0, l3:255
i:19, j:8, l1:0, l2:0, l3:255
i:19, j:9, l1:0, l2:0, l3:255
i:20, j:0, l1:1446663467098564403, l2:73273729030, l3:2
i:20, j:1, l1:0, l2:0, l3:255
i:20, j:2, l1:0, l2:0, l3:255
i:20, j:3, l1:0, l2:0, l3:255
i:20, j:4, l1:0, l2:0, l3:255
i:20, j:5, l1:0, l2:0, l3:255
i:20, j:6, l1:0, l2:0, l3:255
i:20, j:7, l1:0, l2:0, l3:255
i:20, j:8, l1:0, l2:0, l3:255
i:20, j:9, l1:0, l2:0, l3:255
i:21, j:0, l1:0, l2:0, l3:255
i:21, j:1, l1:0, l2:0, l3:255
i:21, j:2, l1:0, l2:0, l3:255
i:21, j:3, l1:0, l2:0, l3:255
i:21, j:4, l1:0, l2:0, l3:255
i:21, j:5, l1:0, l2:0, l3:255
i:21, j:6, l1:0, l2:0, l3:255
i:21, j:7, l1:0, l2:0, l3:255
i:21, j:8, l1:0, l2:0, l3:255
i:21, j:9, l1:0, l2:0, l3:255
i:22, j:0, l1:0, l2:0, l3:255
i:22, j:1, l1:0, l2:0, l3:255
i:22, j:2, l1:0, l2:0, l3:255
i:22, j:3, l1:0, l2:0, l3:255
i:22, j:4, l1:0, l2:0, l3:255
i:22, j:5, l1:0, l2:0, l3:255
i:22, j:6, l1:0, l2:0, l3:255
i:22, j:7, l1:0, l2:0, l3:255
i:22, j:8, l1:0, l2:0, l3:255
i:22, j:9, l1:0, l2:0, l3:255
i:23, j:0, l1:6346241371941708325, l2:842249025041, l3:2
i:23, j:1, l1:0, l2:0, l3:255
i:23, j:2, l1:0, l2:0, l3:255
i:23, j:3, l1:0, l2:0, l3:255
i:23, j:4, l1:0, l2:0, l3:255
i:23, j:5, l1:0, l2:0, l3:255
i:23, j:6, l1:0, l2:0, l3:255
i:23, j:7, l1:0, l2:0, l3:255
i:23, j:8, l1:0, l2:0, l3:255
i:23, j:9, l1:0, l2:0, l3:255
i:24, j:0, l1:15645934171694214521, l2:214046695942, l3:0
i:24, j:1, l1:0, l2:0, l3:255
i:24, j:2, l1:0, l2:0, l3:255
i:24, j:3, l1:0, l2:0, l3:255
i:24, j:4, l1:0, l2:0, l3:255
i:24, j:5, l1:0, l2:0, l3:255
i:24, j:6, l1:0, l2:0, l3:255
i:24, j:7, l1:0, l2:0, l3:255
i:24, j:8, l1:0, l2:0, l3:255
i:24, j:9, l1:0, l2:0, l3:255
i:25, j:0, l1:16765238231273155557, l2:550028645121, l3:2
i:25, j:1, l1:13657413434306519989, l2:903569038849, l3:0
i:25, j:2, l1:0, l2:0, l3:255
i:25, j:3, l1:0, l2:0, l3:255
i:25, j:4, l1:0, l2:0, l3:255
i:25, j:5, l1:0, l2:0, l3:255
i:25, j:6, l1:0, l2:0, l3:255
i:25, j:7, l1:0, l2:0, l3:255
i:25, j:8, l1:0, l2:0, l3:255
i:25, j:9, l1:0, l2:0, l3:255
i:26, j:0, l1:17348985031588919496, l2:229219167249, l3:1
i:26, j:1, l1:0, l2:0, l3:255
i:26, j:2, l1:0, l2:0, l3:255
i:26, j:3, l1:0, l2:0, l3:255
i:26, j:4, l1:0, l2:0, l3:255
i:26, j:5, l1:0, l2:0, l3:255
i:26, j:6, l1:0, l2:0, l3:255
i:26, j:7, l1:0, l2:0, l3:255
i:26, j:8, l1:0, l2:0, l3:255
i:26, j:9, l1:0, l2:0, l3:255
i:27, j:0, l1:1646680711984988166, l2:431774795009, l3:2
i:27, j:1, l1:0, l2:0, l3:255
i:27, j:2, l1:0, l2:0, l3:255
i:27, j:3, l1:0, l2:0, l3:255
i:27, j:4, l1:0, l2:0, l3:255
i:27, j:5, l1:0, l2:0, l3:255
i:27, j:6, l1:0, l2:0, l3:255
i:27, j:7, l1:0, l2:0, l3:255
i:27, j:8, l1:0, l2:0, l3:255
i:27, j:9, l1:0, l2:0, l3:255
i:28, j:0, l1:2933470472232325246, l2:792404550673, l3:1
i:28, j:1, l1:16379751108485154927, l2:426081018625, l3:0
i:28, j:2, l1:4404050911202055346, l2:580455233809, l3:0
i:28, j:3, l1:0, l2:0, l3:255
i:28, j:4, l1:0, l2:0, l3:255
i:28, j:5, l1:0, l2:0, l3:255
i:28, j:6, l1:0, l2:0, l3:255
i:28, j:7, l1:0, l2:0, l3:255
i:28, j:8, l1:0, l2:0, l3:255
i:28, j:9, l1:0, l2:0, l3:255
i:29, j:0, l1:13341482471570554991, l2:869355258886, l3:0
i:29, j:1, l1:13502895798451341339, l2:255356808193, l3:0
i:29, j:2, l1:0, l2:0, l3:255
i:29, j:3, l1:0, l2:0, l3:255
i:29, j:4, l1:0, l2:0, l3:255
i:29, j:5, l1:0, l2:0, l3:255
i:29, j:6, l1:0, l2:0, l3:255
i:29, j:7, l1:0, l2:0, l3:255
i:29, j:8, l1:0, l2:0, l3:255
i:29, j:9, l1:0, l2:0, l3:255
i:30, j:0, l1:9372218598759163623, l2:981340530694, l3:2
i:30, j:1, l1:14443735986813094642, l2:639857327878, l3:1
i:30, j:2, l1:0, l2:0, l3:255
i:30, j:3, l1:0, l2:0, l3:255
i:30, j:4, l1:0, l2:0, l3:255
i:30, j:5, l1:0, l2:0, l3:255
i:30, j:6, l1:0, l2:0, l3:255
i:30, j:7, l1:0, l2:0, l3:255
i:30, j:8, l1:0, l2:0, l3:255
i:30, j:9, l1:0, l2:0, l3:255
i:31, j:0, l1:0, l2:0, l3:255
i:31, j:1, l1:0, l2:0, l3:255
i:31, j:2, l1:0, l2:0, l3:255
i:31, j:3, l1:0, l2:0, l3:255
i:31, j:4, l1:0, l2:0, l3:255
i:31, j:5, l1:0, l2:0, l3:255
i:31, j:6, l1:0, l2:0, l3:255
i:31, j:7, l1:0, l2:0, l3:255
i:31, j:8, l1:0, l2:0, l3:255
i:31, j:9, l1:0, l2:0, l3:255
i:32, j:0, l1:8006170917513258502, l2:1025271163393, l3:0
i:32, j:1, l1:0, l2:0, l3:255
i:32, j:2, l1:0, l2:0, l3:255
i:32, j:3, l1:0, l2:0, l3:255
i:32, j:4, l1:0, l2:0, l3:255
i:32, j:5, l1:0, l2:0, l3:255
i:32, j:6, l1:0, l2:0, l3:255
i:32, j:7, l1:0, l2:0, l3:255
i:32, j:8, l1:0, l2:0, l3:255
i:32, j:9, l1:0, l2:0, l3:255
i:33, j:0, l1:0, l2:0, l3:255
i:33, j:1, l1:0, l2:0, l3:255
i:33, j:2, l1:0, l2:0, l3:255
i:33, j:3, l1:0, l2:0, l3:255
i:33, j:4, l1:0, l2:0, l3:255
i:33, j:5, l1:0, l2:0, l3:255
i:33, j:6, l1:0, l2:0, l3:255
i:33, j:7, l1:0, l2:0, l3:255
i:33, j:8, l1:0, l2:0, l3:255
i:33, j:9, l1:0, l2:0, l3:255
i:34, j:0, l1:4677088604628682432, l2:833979016961, l3:0
i:34, j:1, l1:0, l2:0, l3:255
i:34, j:2, l1:0, l2:0, l3:255
i:34, j:3, l1:0, l2:0, l3:255
i:34, j:4, l1:0, l2:0, l3:255
i:34, j:5, l1:0, l2:0, l3:255
i:34, j:6, l1:0, l2:0, l3:255
i:34, j:7, l1:0, l2:0, l3:255
i:34, j:8, l1:0, l2:0, l3:255
i:34, j:9, l1:0, l2:0, l3:255
i:35, j:0, l1:9854454800716342753, l2:651066805766, l3:1
i:35, j:1, l1:0, l2:0, l3:255
i:35, j:2, l1:0, l2:0, l3:255
i:35, j:3, l1:0, l2:0, l3:255
i:35, j:4, l1:0, l2:0, l3:255
i:35, j:5, l1:0, l2:0, l3:255
i:35, j:6, l1:0, l2:0, l3:255
i:35, j:7, l1:0, l2:0, l3:255
i:35, j:8, l1:0, l2:0, l3:255
i:35, j:9, l1:0, l2:0, l3:255
i:36, j:0, l1:0, l2:0, l3:255
i:36, j:1, l1:0, l2:0, l3:255
i:36, j:2, l1:0, l2:0, l3:255
i:36, j:3, l1:0, l2:0, l3:255
i:36, j:4, l1:0, l2:0, l3:255
i:36, j:5, l1:0, l2:0, l3:255
i:36, j:6, l1:0, l2:0, l3:255
i:36, j:7, l1:0, l2:0, l3:255
i:36, j:8, l1:0, l2:0, l3:255
i:36, j:9, l1:0, l2:0, l3:255
i:37, j:0, l1:0, l2:0, l3:255
i:37, j:1, l1:0, l2:0, l3:255
i:37, j:2, l1:0, l2:0, l3:255
i:37, j:3, l1:0, l2:0, l3:255
i:37, j:4, l1:0, l2:0, l3:255
i:37, j:5, l1:0, l2:0, l3:255
i:37, j:6, l1:0, l2:0, l3:255
i:37, j:7, l1:0, l2:0, l3:255
i:37, j:8, l1:0, l2:0, l3:255
i:37, j:9, l1:0, l2:0, l3:255
i:38, j:0, l1:0, l2:0, l3:255
i:38, j:1, l1:0, l2:0, l3:255
i:38, j:2, l1:0, l2:0, l3:255
i:38, j:3, l1:0, l2:0, l3:255
i:38, j:4, l1:0, l2:0, l3:255
i:38, j:5, l1:0, l2:0, l3:255
i:38, j:6, l1:0, l2:0, l3:255
i:38, j:7, l1:0, l2:0, l3:255
i:38, j:8, l1:0, l2:0, l3:255
i:38, j:9, l1:0, l2:0, l3:255
i:39, j:0, l1:11863828479158226863, l2:587916197633, l3:1
i:39, j:1, l1:0, l2:0, l3:255
i:39, j:2, l1:0, l2:0, l3:255
i:39, j:3, l1:0, l2:0, l3:255
i:39, j:4, l1:0, l2:0, l3:255
i:39, j:5, l1:0, l2:0, l3:255
i:39, j:6, l1:0, l2:0, l3:255
i:39, j:7, l1:0, l2:0, l3:255
i:39, j:8, l1:0, l2:0, l3:255
i:39, j:9, l1:0, l2:0, l3:255
i:40, j:0, l1:9313665912526368200, l2:165262706950, l3:1
i:40, j:1, l1:0, l2:0, l3:255
i:40, j:2, l1:0, l2:0, l3:255
i:40, j:3, l1:0, l2:0, l3:255
i:40, j:4, l1:0, l2:0, l3:255
i:40, j:5, l1:0, l2:0, l3:255
i:40, j:6, l1:0, l2:0, l3:255
i:40, j:7, l1:0, l2:0, l3:255
i:40, j:8, l1:0, l2:0, l3:255
i:40, j:9, l1:0, l2:0, l3:255
i:41, j:0, l1:9849131528776733804, l2:1055999981073, l3:1
i:41, j:1, l1:0, l2:0, l3:255
i:41, j:2, l1:0, l2:0, l3:255
i:41, j:3, l1:0, l2:0, l3:255
i:41, j:4, l1:0, l2:0, l3:255
i:41, j:5, l1:0, l2:0, l3:255
i:41, j:6, l1:0, l2:0, l3:255
i:41, j:7, l1:0, l2:0, l3:255
i:41, j:8, l1:0, l2:0, l3:255
i:41, j:9, l1:0, l2:0, l3:255
i:42, j:0, l1:0, l2:0, l3:255
i:42, j:1, l1:0, l2:0, l3:255
i:42, j:2, l1:0, l2:0, l3:255
i:42, j:3, l1:0, l2:0, l3:255
i:42, j:4, l1:0, l2:0, l3:255
i:42, j:5, l1:0, l2:0, l3:255
i:42, j:6, l1:0, l2:0, l3:255
i:42, j:7, l1:0, l2:0, l3:255
i:42, j:8, l1:0, l2:0, l3:255
i:42, j:9, l1:0, l2:0, l3:255
i:43, j:0, l1:10922880907368090718, l2:71898424326, l3:0
i:43, j:1, l1:0, l2:0, l3:255
i:43, j:2, l1:0, l2:0, l3:255
i:43, j:3, l1:0, l2:0, l3:255
i:43, j:4, l1:0, l2:0, l3:255
i:43, j:5, l1:0, l2:0, l3:255
i:43, j:6, l1:0, l2:0, l3:255
i:43, j:7, l1:0, l2:0, l3:255
i:43, j:8, l1:0, l2:0, l3:255
i:43, j:9, l1:0, l2:0, l3:255
i:44, j:0, l1:4041762331736412128, l2:1027965302289, l3:0
i:44, j:1, l1:0, l2:0, l3:255
i:44, j:2, l1:0, l2:0, l3:255
i:44, j:3, l1:0, l2:0, l3:255
i:44, j:4, l1:0, l2:0, l3:255
i:44, j:5, l1:0, l2:0, l3:255
i:44, j:6, l1:0, l2:0, l3:255
i:44, j:7, l1:0, l2:0, l3:255
i:44, j:8, l1:0, l2:0, l3:255
i:44, j:9, l1:0, l2:0, l3:255
i:45, j:0, l1:0, l2:0, l3:255
i:45, j:1, l1:0, l2:0, l3:255
i:45, j:2, l1:0, l2:0, l3:255
i:45, j:3, l1:0, l2:0, l3:255
i:45, j:4, l1:0, l2:0, l3:255
i:45, j:5, l1:0, l2:0, l3:255
i:45, j:6, l1:0, l2:0, l3:255
i:45, j:7, l1:0, l2:0, l3:255
i:45, j:8, l1:0, l2:0, l3:255
i:45, j:9, l1:0, l2:0, l3:255
i:46, j:0, l1:8851637738065595592, l2:348198060545, l3:2
